Loan_ID,Customer_ID,Age,Gender,Employment_Type,Employment_Years,Annual_Income,Credit_Score,Existing_Loans,Previous_Defaults,DTI_Ratio,Loan_Amount,Loan_Tenure_Months,Interest_Rate,Loan_Purpose,EMI,Collateral_Value,Application_Date,Loan_Status,Default_Flag
L100000,C100000,43,Male,Self-employed,7.6,800416.0,762,2,0,0.346,1101250,60,8.69,Personal,22694.81,500600.0,2025-03-11,Approved,1
L100001,C100001,37,Male,Salaried,12.6,722218.0,659,0,2,0.271,597413,24,12.88,Personal,28368.44,168420.0,2024-03-16,Approved,0
L100002,C100002,44,Female,Salaried,5.2,547771.0,722,1,0,0.209,1165963,12,9.88,Home Improvement,102441.61,1973830.0,2025-09-01,Approved,0
L100003,C100003,53,Female,Salaried,4.9,540264.0,680,2,0,0.3,150237,48,9.84,Vehicle,3798.86,178399.0,2023-02-21,Approved,0
L100004,C100004,36,Male,Business,11.3,1010445.0,810,1,0,0.256,1005636,36,7.0,Home Improvement,31051.12,775863.0,2023-04-28,Approved,0
L100005,C100005,36,Male,Business,1.0,2373315.0,850,1,0,0.321,2056235,24,7.55,Home Improvement,92576.49,2961414.0,2023-01-01,Approved,0
L100006,C100006,54,Male,Self-employed,8.3,804837.0,727,0,0,0.374,932709,48,10.1,Vehicle,23700.73,1444530.0,2025-04-18,Approved,0
L100007,C100007,46,Female,Salaried,10.8,488679.0,624,1,0,0.099,889773,48,10.83,Education,22923.26,410587.0,2023-09-12,Approved,0
L100008,C100008,33,Male,Salaried,13.1,578717.0,716,1,0,0.257,563407,24,9.21,Medical,25793.42,169418.0,2025-05-07,Approved,0
L100009,C100009,43,Male,Salaried,3.1,494508.0,647,2,0,0.356,165615,24,10.37,Business,7670.61,144280.0,2025-12-24,Approved,0
L100010,C100010,33,Male,Salaried,4.7,418737.0,683,2,0,0.314,448040,72,10.52,Vehicle,8418.28,544076.0,2025-10-15,Rejected,0
L100011,C100011,33,Female,Self-employed,12.5,841139.0,734,2,0,0.35,765078,84,9.33,Personal,12437.92,302104.0,2023-12-13,Approved,0
L100012,C100012,40,Female,Salaried,10.8,515641.0,719,0,0,0.316,623458,48,8.86,Personal,15473.37,261127.0,2023-03-10,Approved,0
L100013,C100013,21,Male,Salaried,7.9,694703.0,720,2,0,0.366,365406,84,9.48,Medical,5968.45,35111.0,2023-07-23,Approved,0
L100014,C100014,21,Female,Self-employed,6.3,577324.0,722,0,0,0.21,848026,36,10.93,Home Improvement,27735.18,1271100.0,2024-04-12,Approved,0
L100015,C100015,32,Female,Salaried,6.3,607660.0,654,1,0,0.204,1210281,48,11.81,Personal,31758.55,86042.0,2023-02-27,Approved,0
L100016,C100016,28,Female,Self-employed,6.2,1770150.0,698,1,0,0.385,2399328,36,8.39,Personal,75618.64,399575.0,2024-01-19,Approved,0
L100017,C100017,41,Male,Salaried,14.2,554894.0,711,2,0,0.197,360359,36,8.16,Vehicle,11318.96,439534.0,2025-04-16,Approved,0
L100018,C100018,29,Male,Business,4.9,400898.0,623,3,0,0.328,359026,48,13.51,Vehicle,9722.9,467203.0,2025-11-24,Approved,1
L100019,C100019,24,Female,Self-employed,11.2,2075938.0,809,2,0,0.364,1970813,36,9.15,Personal,62809.0,355057.0,2024-11-24,Rejected,0
L100020,C100020,53,Male,Business,9.4,343575.0,577,1,0,0.211,526503,48,10.32,Home Improvement,13434.53,891315.0,2025-10-08,Approved,0
L100021,C100021,36,Male,Salaried,4.4,487210.0,695,2,0,0.176,683755,60,9.24,Home Improvement,14273.41,849067.0,2025-09-25,Rejected,0
